Gene,Location,Ingenuity,Category,Module
CLDN11,Plasma Membrane,other,Cell Adhesion and Structural Proteins,1
CNTN2,Plasma Membrane,other,Cell Adhesion and Structural Proteins,1
L1CAM,Plasma Membrane,other,Cell Adhesion and Structural Proteins,1
MOBP,Cytoplasm,other,Cell Adhesion and Structural Proteins,1
MOG,Extracellular Space,other,Cell Adhesion and Structural Proteins,1
TSPAN15,Plasma Membrane,other,Cell Adhesion and Structural Proteins,1
ANLN,Cytoplasm,other,Cell Adhesion and Structural Proteins,2
CHN2,Cytoplasm,other,Cell Adhesion and Structural Proteins,2
GSN,Extracellular Space,other,Cell Adhesion and Structural Proteins,2
TGFBI,Extracellular Space,other,Cell Adhesion and Structural Proteins,2
MON1A,Cytoplasm,other,Cell Adhesion and Structural Proteins,4
NCAM1,Plasma Membrane,other,Cell Adhesion and Structural Proteins,4
RAPGEF3,Nucleus,other,Cell Adhesion and Structural Proteins,4
GJB1,Plasma Membrane,transporter,Channels and Transporters,1
NKAIN2,Plasma Membrane,other,Channels and Transporters,1
SLC16A2,Plasma Membrane,transporter,Channels and Transporters,3
SLCO1A2,Plasma Membrane,transporter,Channels and Transporters,3
SLCO1C1,Plasma Membrane,transporter,Channels and Transporters,3
KCNMB1,Plasma Membrane,ion channel,Channels and Transporters,4
LETM1,Cytoplasm,transporter,Channels and Transporters,4
SCN1B,Plasma Membrane,ion channel,Channels and Transporters,4
SCN5A,Plasma Membrane,ion channel,Channels and Transporters,4
SLC40A1,Plasma Membrane,transporter,Channels and Transporters,4
SLC8B1,Plasma Membrane,transporter,Channels and Transporters,4
EXT1,Cytoplasm,enzyme,Enzymes,1
KIF14,Cytoplasm,enzyme,Enzymes,1
PPT1,Cytoplasm,enzyme,Enzymes,1
RNF13,Other,enzyme,Enzymes,1
UGCG,Cytoplasm,enzyme,Enzymes,1
ALDH1A2,Cytoplasm,enzyme,Enzymes,2
CIP2A,Cytoplasm,other,Enzymes,2
NEDD8,Nucleus,enzyme,Enzymes,2
ST3GAL3,Cytoplasm,enzyme,Enzymes,2
LIPE,Cytoplasm,enzyme,Enzymes,3
LPL,Cytoplasm,enzyme,Enzymes,3
ADCY2,Plasma Membrane,enzyme,Enzymes,4
ADCY7,Plasma Membrane,enzyme,Enzymes,4
GDE1,Plasma Membrane,enzyme,Enzymes,4
LPCAT3,Plasma Membrane,enzyme,Enzymes,4
RAP1A,Cytoplasm,enzyme,Enzymes,4
NRP2,Plasma Membrane,kinase,Kinases,1
PAK3,Cytoplasm,kinase,Kinases,2
CAMK4,Nucleus,kinase,Kinases,4
CSK,Cytoplasm,kinase,Kinases,4
FXN,Cytoplasm,kinase,Kinases,4
SEMA4C,Plasma Membrane,other,Ligands and Secreted Proteins,1
CMTM5,Other,cytokine,Ligands and Secreted Proteins,2
JAG1,Extracellular Space,growth factor,Ligands and Secreted Proteins,2
FGF12,Extracellular Space,other,Ligands and Secreted Proteins,4
FGFRL1,Plasma Membrane,transmembrane receptor,Receptors and Downstream Components,1
PLEKHA1,Cytoplasm,other,Receptors and Downstream Components,1
PLXNA3,Plasma Membrane,transmembrane receptor,Receptors and Downstream Components,1
PRRG1,Plasma Membrane,other,Receptors and Downstream Components,1
ROBO1,Plasma Membrane,transmembrane receptor,Receptors and Downstream Components,1
STRN,Cytoplasm,other,Receptors and Downstream Components,1
DBN1,Cytoplasm,other,Receptors and Downstream Components,2
GPR37,Plasma Membrane,G-protein coupled receptor,Receptors and Downstream Components,2
SPRY1,Cytoplasm,other,Receptors and Downstream Components,2
WASF1,Nucleus,other,Receptors and Downstream Components,2
PEBP1,Cytoplasm,other,Receptors and Downstream Components,3
PLEKHA8,Cytoplasm,other,Receptors and Downstream Components,3
RARG,Nucleus,ligand-dependent nuclear receptor,Receptors and Downstream Components,3
CD22,Plasma Membrane,G-protein coupled receptor,Receptors and Downstream Components,4
LPAR1,Plasma Membrane,G-protein coupled receptor,Receptors and Downstream Components,4
NDFIP1,Cytoplasm,other,Receptors and Downstream Components,4
CERS2,Nucleus,transcription regulator,Transcriptional Regulators,1
ST18,Nucleus,transcription regulator,Transcriptional Regulators,1
HDAC9,Nucleus,transcription regulator,Transcriptional Regulators,2
HNF4A,Nucleus,transcription regulator,Transcriptional Regulators,2
NOTCH3,Plasma Membrane,transcription regulator,Transcriptional Regulators,2
NOTCH4,Plasma Membrane,transcription regulator,Transcriptional Regulators,2
SMAD7,Cytoplasm,group,Transcriptional Regulators,2
NFKBIA,Cytoplasm,transcription regulator,Transcriptional Regulators,3
KMT2C,Nucleus,transcription regulator,Transcriptional Regulators,4
NEO1,Plasma Membrane,transcription regulator,Transcriptional Regulators,4
